================================================================
SUMMARY — async upsert against every published Intel V4 fmspc
TCB_EVALS=19,20,21
================================================================
| EVAL | TEE | FMSPC        | STATUS           | TX GAS                                                                                                                   |  WALL |
|------|-----|--------------|------------------|--------------------------------------------------------------------------------------------------------------------------|------:|
| 19   | SGX | 00606C040000 | OK               | start_async_upsert=406725, upload_basic_info=493169, upload_tcb_levels_batch_0_3=2292872, upload_tcb_levels_batch_3_6=2467820, upload_tcb_levels_batch_6_9=2773021, upload_tcb_levels_batch_9_12=2954945, upload_tcb_levels_batch_12_15=3560598, finalize_async_upsert=4164268 |   68s |
| 19   | SGX | 00906EC10000 | OK               | start_async_upsert=406725, upload_basic_info=493334, upload_tcb_levels_batch_0_2=1143670, finalize_async_upsert=1251979  |   30s |
| 19   | SGX | 00806F050000 | OK               | start_async_upsert=406725, upload_basic_info=493169, upload_tcb_levels_batch_0_3=2492895, upload_tcb_levels_batch_3_5=2279973, finalize_async_upsert=2145000 |   38s |
| 19   | SGX | 00706E470000 | OK               | start_async_upsert=406713, upload_basic_info=493169, upload_tcb_levels_batch_0_3=1763946, upload_tcb_levels_batch_3_6=1909007, upload_tcb_levels_batch_6_9=2137254, upload_tcb_levels_batch_9_12=2339355, upload_tcb_levels_batch_12_15=2558938, finalize_async_upsert=3140103 |   58s |
| 19   | SGX | 00906EA10000 | OK               | start_async_upsert=406713, upload_basic_info=493346, upload_tcb_levels_batch_0_3=1939275, upload_tcb_levels_batch_3_6=2165929, upload_tcb_levels_batch_6_9=2361105, upload_tcb_levels_batch_9_12=2606139, upload_tcb_levels_batch_12_15=2750120, upload_tcb_levels_batch_15_18=3015513, upload_tcb_levels_batch_18_21=3181837, upload_tcb_levels_batch_21_22=1223606, finalize_async_upsert=4801889 |   80s |
| 19   | SGX | 00906EA50000 | OK               | start_async_upsert=406713, upload_basic_info=493346, upload_tcb_levels_batch_0_3=1939275, upload_tcb_levels_batch_3_6=2165929, upload_tcb_levels_batch_6_9=2361105, upload_tcb_levels_batch_9_12=2606139, upload_tcb_levels_batch_12_15=2750120, upload_tcb_levels_batch_15_18=3015513, upload_tcb_levels_batch_18_21=3181837, upload_tcb_levels_batch_21_22=1223606, finalize_async_upsert=4807934 |   79s |
| 19   | SGX | C0806F000000 | OK               | start_async_upsert=406725, upload_basic_info=493346, upload_tcb_levels_batch_0_3=2492895, upload_tcb_levels_batch_3_5=2037751, finalize_async_upsert=2100370 |   37s |
| 19   | SGX | 00A06E050000 | OK               | start_async_upsert=406725, upload_basic_info=493334, upload_tcb_levels_batch_0_2=1498420, finalize_async_upsert=1400647  |   30s |
| 19   | SGX | 00A06D080000 | OK               | start_async_upsert=406725, upload_basic_info=493314, upload_tcb_levels_batch_0_2=1475426, finalize_async_upsert=1404143  |   31s |
| 19   | SGX | 20A06E050000 | FAIL             | -                                                                                                                        |    1s |
| 19   | SGX | 10A06F010000 | OK               | start_async_upsert=406725, upload_basic_info=493334, upload_tcb_levels_batch_0_1=808936, finalize_async_upsert=1222301   |   30s |
| 19   | SGX | B0C06F000000 | OK               | start_async_upsert=406713, upload_basic_info=493523, upload_tcb_levels_batch_0_3=2802815, finalize_async_upsert=1699031  |   30s |
| 19   | SGX | 00606A000000 | OK               | start_async_upsert=406725, upload_basic_info=493169, upload_tcb_levels_batch_0_3=2292872, upload_tcb_levels_batch_3_6=2467820, upload_tcb_levels_batch_6_9=2687401, upload_tcb_levels_batch_9_12=2926379, upload_tcb_levels_batch_12_15=3560598, finalize_async_upsert=4145732 |   75s |
| 19   | SGX | 00806F000000 | OK               | start_async_upsert=406725, upload_basic_info=493169, upload_tcb_levels_batch_0_3=2493886, upload_tcb_levels_batch_3_5=2302984, finalize_async_upsert=2145779 |   37s |
| 19   | SGX | 00906ED50000 | OK               | start_async_upsert=406713, upload_basic_info=493346, upload_tcb_levels_batch_0_3=1882245, upload_tcb_levels_batch_3_6=2044756, upload_tcb_levels_batch_6_9=2304952, upload_tcb_levels_batch_9_12=2341214, upload_tcb_levels_batch_12_15=2635277, upload_tcb_levels_batch_15_18=2777495, upload_tcb_levels_batch_18_21=3079594, finalize_async_upsert=4384801 |   72s |
| 19   | SGX | F0806F000000 | OK               | start_async_upsert=406725, upload_basic_info=493346, upload_tcb_levels_batch_0_3=2493886, upload_tcb_levels_batch_3_5=1915033, finalize_async_upsert=2070792 |   38s |
| 19   | SGX | 00906EB10000 | OK               | start_async_upsert=406713, upload_basic_info=493346, upload_tcb_levels_batch_0_3=1939275, upload_tcb_levels_batch_3_6=2165929, upload_tcb_levels_batch_6_9=2361105, upload_tcb_levels_batch_9_12=2606139, upload_tcb_levels_batch_12_15=2750120, upload_tcb_levels_batch_15_18=3015513, upload_tcb_levels_batch_18_21=3181837, upload_tcb_levels_batch_21_22=1223606, finalize_async_upsert=4807464 |   79s |
| 19   | SGX | 10A06D000000 | OK               | start_async_upsert=406713, upload_basic_info=493314, upload_tcb_levels_batch_0_2=1475426, finalize_async_upsert=1403388  |   30s |
| 19   | SGX | 00806EB70000 | OK               | start_async_upsert=406725, upload_basic_info=493334, upload_tcb_levels_batch_0_2=1143670, finalize_async_upsert=1265836  |   30s |
| 19   | SGX | 00A065510000 | OK               | start_async_upsert=406725, upload_basic_info=493169, upload_tcb_levels_batch_0_3=1825790, upload_tcb_levels_batch_3_6=1960795, upload_tcb_levels_batch_6_9=2138215, upload_tcb_levels_batch_9_12=2363346, upload_tcb_levels_batch_12_14=1649693, finalize_async_upsert=2995203 |   58s |
| 19   | SGX | 20A06D080000 | OK               | start_async_upsert=406713, upload_basic_info=493334, upload_tcb_levels_batch_0_2=1498420, finalize_async_upsert=1407424  |   30s |
